title,score_phrase,score,genre,editors_choice
Halo 4,Amazing,9.8,Shooter,Y
Halo 4 (Limited Edition),Amazing,9.8,Shooter,Y
Zone of the Enders HD Collection,Good,7.0,"Action, Compilation",N
Harvest Moon: A New Beginning,Great,8.3,Adventure,N
Borderlands Legends,Okay,6.5,"Action, RPG",N
Okami HD,Amazing,9.4,Adventure,Y
Ragnarok Odyssey,Mediocre,5.0,RPG,N
Need for Speed Most Wanted,Okay,6.9,"Racing, Action",N
Pid,Good,7.8,Platformer,N
Assassin's Creed III,Great,8.5,"Action, Adventure",N
Assassin's Creed III: Liberation,Good,7.2,Action,N
Smart As...,Great,8.5,"Educational, Puzzle",N
WWE '13,Great,8.4,Wrestling,N
Street Fighter x Tekken,Okay,6.6,Fighting,N
Chivalry: Medieval Warfare,Good,7.9,Adventure,N
Sonic Jump,Good,7.5,Platformer,N
F1 Race Stars,Mediocre,5.2,Racing,N
Call of Duty: Black Ops II,Amazing,9.3,Shooter,Y
Midway Arcade Origins,Mediocre,5.5,"Action, Compilation",N
When Vikings Attack,Okay,6.5,"Fighting, Action",N
"Freakyforms Deluxe: Your Creations, Alive!",Mediocre,5.0,Productivity,N
Painkiller: Hell & Damnation,Mediocre,5.0,Shooter,N
Transformers Prime,Great,8.0,Action,N
Angry Birds Star Wars,Great,8.8,Puzzle,N
Farming Simulator 2013,Good,7.1,Simulation,N
Paper Mario: Sticker Star,Great,8.3,RPG,N
Lucius,Okay,6.0,Adventure,N
LittleBigPlanet Karting,Mediocre,5.0,Racing,N
Primal Carnage,Good,7.6,Shooter,N
Natural Selection 2,Great,8.0,Shooter,N
Symphonica: Grand Maestro,Okay,6.0,Music,N
Football Manager 2013,Amazing,9.0,"Sports, Simulation",Y
The Walking Dead: The Game -- Episode 5: No Time Left,Amazing,9.5,Adventure,Y
Orgarhythm,Bad,4.7,"Music, Action",N
Sports Champions 2,Good,7.6,"Sports, Action",N
Kinect Party,Great,8.5,Party,N
Sky Gamblers: Storm Raiders,Good,7.1,Action,N
Oddworld: Stranger's Wrath HD,Good,7.5,"Action, Adventure",N
AirBuccaneers,Good,7.5,Action,N
Theatrhythm Final Fantasy,Great,8.0,"Music, Action",N
Sing Party,Okay,6.3,Music,N
Beatdown!,Okay,6.3,"Fighting, Action",N
Waking Mars,Okay,6.5,Action,N
Hitman: Absolution,Amazing,9.0,Action,Y
ZombiU,Okay,6.3,Shooter,N
Grand Theft Auto: Vice City,Good,7.7,"Action, Adventure",N
Street Fighter X Mega Man,Good,7.0,Action,N
Sonic & All-Stars Racing Transformed,Good,7.0,"Racing, Action",N
The Sims 3: Seasons,Good,7.5,Simulation,N
Tank! Tank! Tank!,Mediocre,5.8,Action,N
Guardians of Middle-earth,Good,7.5,Battle,N
Ratchet & Clank: Full Frontal Assault,Okay,6.4,Action,N
Page Chronica,Bad,4.1,Puzzle,N
Batman: Arkham City -- Armored Edition,Amazing,9.5,Action,Y
Disney Epic Mickey 2: The Power of Two,Okay,6.0,"Action, Adventure",N
Scribblenauts Unlimited,Great,8.8,"Puzzle, Action",Y
Call of Duty: Black Ops Declassified,Bad,4.0,Shooter,N
Fallen Enchantress,Good,7.9,Strategy,N
Guns of Icarus Online,Good,7.3,Shooter,N
Miner Wars 2081,Mediocre,5.0,Shooter,N
The Elder Scrolls V: Skyrim -- Dragonborn,Great,8.8,RPG,N
Baldur's Gate -- Enhanced Edition,Okay,6.0,RPG,N
Black Knight Sword,Okay,6.9,"Puzzle, Adventure",N
