title,score_phrase,score,genre,editors_choice
NHL Blades of Steel 2000,Painful,2.5,Sports,N
Kaze no Klonoa: Moonlight Museum,Okay,6.0,Platformer,N
Walt Disney World Quest: Magical Racing Tour,Good,7.5,Racing,N
Alundra 2,Good,7.7,RPG,N
Star Trek: Armada,Okay,6.0,Strategy,N
Tom Clancy's Rainbow Six: Rogue Spear: Urban Operations,Great,8.0,Action,N
Custom Robo,Great,8.8,Action,N
Last Call,Good,7.0,Simulation,N
Majesty: The Fantasy Kingdom,Great,8.4,Strategy,N
Battlezone: Rise of the Black Dogs,Awful,3.9,Action,N
Soldier of Fortune,Amazing,9.0,Action,Y
Need for Speed: Porsche Unleashed,Good,7.9,Racing,N
Jackie Chan's Stuntmaster,Great,8.0,Action,N
Plasma Sword: Nightmare of Bilstein,Okay,6.8,Fighting,N
Carmageddon,Awful,3.0,Racing,N
JoJo's Bizarre Adventure,Good,7.0,Fighting,N
Microsoft Baseball 2001,Good,7.9,Sports,N
Striker Pro 2000,Good,7.0,Sports,N
Resident Evil -- CODE: Veronica,Amazing,9.2,"Action, Adventure",Y
Risk II,Great,8.3,Strategy,N
MDK2,Amazing,9.4,Action,Y
Bassmasters 2000,Awful,3.1,Hunting,N
All-Star Baseball 2001,Amazing,9.1,Sports,Y
Command & Conquer: Tiberian Sun -- Firestorm,Good,7.4,Strategy,N
Pokemon Trading Card Game,Amazing,9.0,"Card, Battle",N
Motocross Madness 2,Great,8.6,Racing,N
Bomberman Max -- Red: Challenger,Amazing,9.0,Action,Y
Konami GB Collection Vol. 2,Okay,6.0,Action,N
Dinosaur,Bad,4.0,Adventure,N
1942,Mediocre,5.0,Shooter,N
Grind Session,Good,7.6,Action,N
Toobin',Awful,3.0,"Sports, Editor",N
Last Blade,Good,7.0,Fighting,N
Millennium Winter Sports,Good,7.0,Sports,N
Harvest Moon GBC,Okay,6.0,RPG,N
Who Wants To Be A Millionaire? Second Edition,Good,7.0,Trivia,N
Mr. Driller,Great,8.0,Puzzle,N
Test Drive Le Mans,Okay,6.5,Racing,N
Medievil II,Great,8.4,Action,N
Starlancer,Amazing,9.2,Action,Y
Maken X,Good,7.9,Action,N
Romance of the Three Kingdoms VI: Awakening of the Dragon,Good,7.5,Simulation,N
Puzzle Link 2,Amazing,9.0,Puzzle,N
Metal Gear Solid [2000],Masterpiece,10.0,"Action, Adventure",Y
Wild ARMs 2,Okay,6.0,RPG,N
Tachyon: The Fringe,Great,8.4,Action,N
Vagrant Story,Amazing,9.6,RPG,Y
Perfect Dark,Amazing,9.8,Shooter,Y
Vanark,Great,8.0,Action,N
The Crystal Key,Okay,6.8,Adventure,N
Atari Greatest Hits,Good,7.5,Action,N
Sammy Sosa High Heat Baseball 2001,Mediocre,5.5,Sports,N
Edgar Torronteras' Moto-X 2000,Mediocre,5.5,Racing,N
4 Wheel Thunder,Great,8.1,Racing,N
Chase Ace 2,Great,8.4,Action,N
Puzz 3D: The Orient Express,Awful,3.5,Puzzle,N
The Legend of Lotus Spring,Bad,4.2,Puzzle,N
Heroes of Might and Magic III: Shadow of Death,Amazing,9.0,Strategy,Y
Silent Bomber,Great,8.0,Action,Y
Speed Punks,Amazing,9.0,Racing,Y
Winnie The Pooh: Adventures in the 100 Acre Woods,Good,7.0,Action,N
Pocket Fighter,Great,8.0,Fighting,N
Allegiance,Great,8.2,Action,N
Sorcerian: Apprentice of Seven Star Magic,Okay,6.4,RPG,N
"Dive Alert, Matt's Version",Bad,4.0,RPG,N
"Dive Alert, Becky's Version",Bad,4.0,RPG,N
Safecracker [2000],Mediocre,5.2,Puzzle,N
Imperium Galactica II: Alliances,Amazing,9.0,Strategy,Y
Ultimate Hunt Challenge,Mediocre,5.5,Hunting,N
MLB 2001,Good,7.4,Sports,N
Super Scattergories,Okay,6.2,Puzzle,N
Eagle One: Harrier Attack,Okay,6.5,Action,N
Twinkle Star Sprites,Mediocre,5.8,Action,N
EverQuest: Ruins of Kunark,Great,8.5,RPG,Y
Monster Rancher Battle Card GB,Good,7.0,"Card, Battle",N
Samba de Amigo,Amazing,9.4,Music,N
Excitebike 64,Amazing,9.7,Racing,Y
Metal Slug: 2nd Mission,Amazing,9.0,Action,Y
Papyrus,Good,7.0,Action,N
Earth 2150,Great,8.9,Strategy,Y
The Legend of Dragoon,Good,7.0,RPG,N
Nightmare Creatures II,Mediocre,5.0,Action,N
Ground Control,Great,8.6,Strategy,Y
PGA European Tour,Bad,4.6,Sports,N
Final Fantasy Legend,Okay,6.0,RPG,N
Industrial Spy: Operation Espionage,Mediocre,5.0,Action,N
Final Fantasy Adventure,Amazing,9.0,RPG,N
Virtual-On: Oratorio Tangram,Great,8.0,Action,N
Emergency Rescue: Firefighters,Mediocre,5.5,Strategy,N
Crystalis,Great,8.0,Adventure,N
Beach Head 2000,Okay,6.0,Action,N
Looney Tunes Collector: Alert!,Amazing,9.0,Adventure,N
NGEN Racing,Good,7.0,Racing,N
Flying Heroes,Great,8.3,"Flight, Action",N
StarCraft 64,Good,7.7,Strategy,N
Ultima Online: Renaissance,Good,7.5,RPG,N
AI Wars: The Awakening,Mediocre,5.8,Strategy,N
Bomberman 64: The Second Attack,Mediocre,5.3,Action,N
The Misadventures of Tron Bonne,Good,7.5,"Action, Adventure",N
Deus Ex,Amazing,9.4,RPG,Y
Iron Soldier 3,Okay,6.8,Action,N
Mortal Kombat Special Forces,Awful,3.0,Action,N
Transformers: Beast Wars Transmetals,Awful,3.0,Fighting,N
Icewind Dale,Great,8.8,RPG,Y
Konami GB Collection Vol. 1,Great,8.0,Action,N
Gekido,Good,7.8,Action,N
StarCraft,Amazing,9.5,Strategy,Y
Samurai Shodown: Warrior's Rage,Okay,6.0,Fighting,N
Shamus,Awful,3.0,Action,N
Space Channel 5,Amazing,9.2,"Music, Action",N
Airport Tycoon,Awful,3.0,Simulation,N
Trick Boarder,Okay,6.0,Sports,N
Covert Ops: Nuclear Dawn,Bad,4.8,Adventure,N
Ultimate Paintball,Painful,2.0,Action,N
Animastar,Good,7.3,Simulation,N
Legend of Mana,Great,8.3,RPG,Y
Martian Gothic: Unification,Good,7.9,Adventure,N
Mary-Kate & Ashley: Get a Clue!,Okay,6.0,Puzzle,N
Let's Ride!,Awful,3.0,Sports,N
Rampage Through Time,Awful,3.5,Action,N
Indy Racing 2000,Great,8.0,Racing,N
Toonsylvania,Bad,4.0,Platformer,N
SimCity 3000 Unlimited,Amazing,9.1,Simulation,Y
PGA Championship Golf 2000,Good,7.7,Sports,N
Diablo II,Great,8.3,"Action, RPG",Y
Caesars Palace 2000: Millennium Gold Edition,Mediocre,5.0,Other,N
Dark Reign 2,Great,8.0,Strategy,N
Virtua Tennis,Amazing,9.4,Sports,Y
Xtreme Sports,Great,8.0,Sports,N
Panty Raider: From Here to Immaturity,Unbearable,1.5,Puzzle,N
Spec Ops: Stealth Patrol,Awful,3.0,Action,N
Daikatana,Mediocre,5.8,Action,N
Hot Wheels: Micro Racers,Okay,6.2,Racing,N
Casper,Mediocre,5.0,Action,N
Ka-52 Team Alligator,Okay,6.3,Simulation,N
Tech Romancer,Great,8.9,"Fighting, Action",N
Fighter Destiny 2,Okay,6.3,Fighting,N
Super Magnetic Neo,Okay,6.9,Platformer,N
Innova Disc Golf,Awful,3.3,Sports,N
Final Fantasy Legend III,Good,7.0,RPG,N
Towers: Lord Baniff's Deceit,Bad,4.0,RPG,N
Konami GB Collection Vol. 3,Great,8.0,Action,N
Densha De Go! 64,Mediocre,5.1,Simulation,N
Kirby 64: The Crystal Shards,Good,7.9,Platformer,N
Street Fighter III: Double Impact,Great,8.8,"Fighting, Compilation",N
Star Trek: Klingon Academy,Good,7.8,Action,N
Fur Fighters,Great,8.3,Shooter,N
Looney Tunes: Duck Dodgers Starring Daffy Duck,Good,7.6,Platformer,N
Star Trek: ConQuest Online,Good,7.8,Strategy,N
Vanguard Bandits,Okay,6.5,RPG,N
Digimon World,Mediocre,5.8,Fighting,N
Wacky Races,Great,8.4,Racing,N
Rent A Hero No. 1,Great,8.4,"Action, Adventure",N
Grudge Warriors,Mediocre,5.5,Action,N
Formula One '99,Bad,4.2,Racing,N
Wario Land 3,Amazing,9.0,Platformer,N
Kurt Warner's Arena Football Unleashed,Bad,4.0,Sports,N
Rugrats: Totally Angelica,Painful,2.0,Puzzle,N
Vampire: The Masquerade -- Redemption,Good,7.0,RPG,N
Traitors Gate,Mediocre,5.0,Adventure,N
Street Fighter EX 2 Plus,Great,8.5,Fighting,N
Deja Vu & Deja Vu II: The Casebooks of Ace Harding,Bad,4.0,Adventure,N
Final Fantasy Legend II,Great,8.0,RPG,N
Evolva,Good,7.2,Action,N
Who Wants To Be A Millionaire? 2nd Edition,Okay,6.5,Trivia,N
Shogun: Total War,Great,8.5,Strategy,Y
ISS Pro Evolution,Mediocre,5.1,Sports,N
Dracula Resurrection,Great,8.0,Adventure,N
Kawasaki ATV Powersports,Unbearable,1.0,Racing,N
Draconus: Cult of the Wyrm,Okay,6.7,Action,N
Gold and Glory: The Road to El Dorado,Mediocre,5.0,Adventure,N
Evolution 2: Far off Promise,Bad,4.5,RPG,N
10Six,Okay,6.2,Strategy,N
Heroes of Might and Magic,Good,7.0,Strategy,N
Mario Artist: Talent Studio,Great,8.2,Productivity,N
Marvel vs. Capcom 2: New Age of Heroes,Amazing,9.3,Fighting,Y
Koudelka,Okay,6.8,Adventure,N
Rhapsody: A Musical Adventure,Good,7.3,RPG,N
Lemmings Revolution,Great,8.0,Puzzle,N
Colony Wars: Red Sun,Great,8.5,Action,Y
Rally Challenge 2000,Okay,6.0,Racing,N
Dogs of War: Battle On Primus IV,Good,7.0,Strategy,N
SnoCross Championship Racing,Good,7.5,Racing,N
Mega Man Battle & Fighters,Great,8.0,"Fighting, Action",N
Action Bass,Mediocre,5.0,Hunting,N
Turok 3: Shadow of Oblivion,Great,8.0,Action,N
Reel Fishing II,Okay,6.3,Hunting,N
Railroad Tycoon II (Gold Edition),Great,8.2,Simulation,N
Monster Rancher Battle Card: Episode II,Mediocre,5.5,"Card, Battle",N
Go Kart Challenge,Mediocre,5.1,Racing,N
Tennis,Great,8.0,Sports,N
Walt Disney World Magical Racing Tour,Okay,6.3,Racing,N
World Series Baseball 2K1,Mediocre,5.5,Sports,N
Bang! Gunship Elite,Good,7.9,Action,N
Warlocked,Amazing,9.0,Strategy,N
Warlords Battlecry,Great,8.4,Strategy,N
Gromada,Okay,6.3,Action,N
Mario Tennis,Amazing,9.0,"Sports, Action",Y
AeroWings 2: Air Strike,Great,8.0,Flight,N
NCAA Football 2001,Great,8.3,Sports,N
Kyojin no Doshin -- Kaihou Sensen Chibikko Chikko Daishuugou,Painful,2.5,Adventure,N
SimCity 64,Okay,6.0,Simulation,N
Carmageddon 64,Unbearable,1.3,Racing,N
Wham-o Frisbee Golf,Bad,4.2,Sports,N
Strider 2,Great,8.5,Action,Y
KISS Psycho Circus: The Nightmare Child,Good,7.0,Action,N
Pharaoh: Cleopatra,Great,8.6,Strategy,Y
Field & Stream Trophy Bass 4,Great,8.0,Hunting,Y
Army Men: Air Combat,Good,7.6,Action,N
Breakneck,Great,8.2,Racing,N
F-Zero X Expansion Kit,Great,8.4,Productivity,Y
Threads of Fate,Good,7.7,RPG,N
F-18 Thunder Strike,Painful,2.0,Action,N
Soulbringer,Good,7.0,RPG,N
Kyojin no Doshin 1,Okay,6.5,Adventure,N
Cool Cool Toon,Good,7.8,"Music, Action",N
Who Wants to Beat Up a Millionaire?,Mediocre,5.7,Puzzle,N
Madden NFL 2001,Amazing,9.4,Sports,Y
WWF Royal Rumble,Mediocre,5.2,Wrestling,N
Beyond Atlantis,Okay,6.4,Adventure,N
MagForce Racing,Good,7.7,Racing,N
International Superstar Soccer '99,Great,8.0,Sports,N
Giga Wing,Okay,6.0,Shooter,N
Maya the Bee & Her Friends,Okay,6.0,Puzzle,N
Daily Racing Form: Horse Racing,Bad,4.0,Racing,N
X-Men: Mutant Academy,Great,8.0,Fighting,N
Bugs Bunny in Crazy Castle 4,Good,7.0,Action,N
Power Rangers: Lightspeed Rescue,Good,7.0,Action,N
AMF Xtreme Bowling,Good,7.0,Sports,N
Men In Black: The Series 2,Mediocre,5.0,Action,N
Communication Logic Battle Daisessen,Good,7.5,Puzzle,N
Caesars Palace 2000,Good,7.2,Puzzle,N
Namco Museum,Bad,4.0,Action,N
Chrono Cross,Amazing,9.7,RPG,Y
Heavy Metal: F.A.K.K.2,Great,8.0,Action,N
Ecco the Dolphin: Defender of the Future,Good,7.6,Action,N
Sergei Bubka's Millennium Games,Good,7.9,Sports,N
Spirit of Speed 1937,Painful,2.2,Racing,N
Midway's Greatest Arcade Hits Volume I,Good,7.5,Compilation,N
Terminus,Great,8.0,Action,N
Giant Gram: All Japan Pro Wrestling 2,Great,8.4,Wrestling,N
Tenchu 2: Birth of the Stealth Assassins,Amazing,9.1,Action,Y
Metal Fatigue,Good,7.1,Strategy,N
Surf Riders,Okay,6.5,Action,N
Seaman,Great,8.3,Virtual Pet,N
Zusar Vasar,Okay,6.0,Racing,N
Virtual Deep Sea Fishing,Awful,3.3,Hunting,N
Test Drive Cycles,Bad,4.0,Racing,N
Dance Dance Revolution [2001],Mediocre,5.0,Music,N
Tokyo Xtreme Racer 2,Amazing,9.3,Racing,Y
"Army Men: World War Land, Sea, Air",Awful,3.0,Action,N
Pokemon Puzzle League,Great,8.9,Puzzle,N
Michelin Rally Masters Race of Champions,Amazing,9.0,Racing,Y
Frogger 2,Great,8.0,Action,Y
Army Men: Sarge's Heroes 2,Mediocre,5.0,Action,N
Dino Crisis 2,Amazing,9.3,Adventure,Y
NHL 2001,Great,8.4,Sports,N
Sanity: Aiken's Artifact,Great,8.3,Action,N
Crimson Skies,Great,8.8,Action,Y
Battleship: Surface Thunder,Good,7.4,Action,N
Buffy the Vampire Slayer,Painful,2.0,Action,N
Dragon Warrior I & II,Great,8.0,RPG,N
San Francisco Rush 2049,Amazing,9.0,Racing,Y
NFL 2K1,Amazing,9.5,Sports,Y
MTV Sports: Skateboarding Featuring Andy Macdonald,Good,7.0,Sports,N
Microsoft Golf 2001 Edition,Good,7.7,Sports,N
Lil' Monster,Mediocre,5.0,RPG,N
NFL Blitz 2001,Awful,3.0,"Sports, Action",N
RPG Maker,Great,8.2,"RPG, Editor",N
Professional Bull Rider 2,Mediocre,5.0,Sports,N
Panzer General III: Scorched Earth,Good,7.9,Strategy,N
Blaster Master: Enemy Below,Great,8.0,Action,N
Dave Mirra Freestyle BMX,Great,8.0,Sports,N
MindRover: The Europa Project,Great,8.5,Simulation,Y
High Impact Paintball,Awful,3.3,Action,N
Ganbare! Nippon! Olympics 2000,Okay,6.1,Sports,N
Tyco R/C: Assault With A Battery,Good,7.5,Racing,N
Spin Jam,Good,7.0,Action,N
Ultimate Fighting Championship,Amazing,9.1,Fighting,Y
Enemy Engaged: Comanche vs. Hokum,Amazing,9.0,Simulation,Y
Ball Breakers,Good,7.5,Action,N
Sydney 2000,Okay,6.0,Sports,N
Muppet Race Mania,Great,8.3,Racing,N
Chessmaster,Great,8.0,Board,N
Stunt Racer 64,Good,7.0,Racing,N
Destruction Derby Raw,Good,7.9,Racing,N
Pro-Pinball: Fantastic Journey,Bad,4.8,Pinball,N
Who Wants To Be A Millionaire?,Good,7.0,Trivia,N
ESPN International Track & Field,Okay,6.0,Sports,N
Wal-Mart FLW Tour Tournament 2000,Mediocre,5.0,Sports,N
NFL QB Club 2001,Mediocre,5.8,Sports,N
Star Trek: New Worlds,Okay,6.2,Strategy,N
Grand Prix 3,Amazing,9.0,Racing,Y
F1 Racing Championship,Good,7.5,Racing,N
Star Trek: Voyager: Elite Force,Great,8.6,Action,N
Ferrari F355 Challenge,Amazing,9.2,"Racing, Simulation",Y
Tony Hawk's Pro Skater 2,Amazing,9.6,Sports,Y
ATV Quad Power Racing,Awful,3.0,Racing,N
NCAA GameBreaker 2001,Good,7.2,Sports,N
Return of The Incredible Machine: Contraptions,Great,8.4,Puzzle,Y
Ms. Pac-Man Maze Madness,Great,8.3,Action,N
Space Marauder,Okay,6.0,Action,N
Virtua Athlete 2K,Bad,4.0,Action,N
SEGA GT,Amazing,9.2,Racing,N
Age of Empires II: The Conquerors,Great,8.2,Strategy,N
Bust A Groove 2,Okay,6.8,Music,N
Spider-Man [2000],Amazing,9.0,Action,Y
Submarine TITANS,Good,7.0,Strategy,N
Hot Chix n' Gear Stix,Okay,6.0,Racing,N
Power Stone 2,Amazing,9.0,"Fighting, Action",Y
MTV Sports: Pure Ride,Good,7.7,Sports,N
The Little Mermaid II: Pinball Frenzy,Good,7.0,Pinball,N
Alice in Wonderland [2000],Great,8.0,Platformer,N
Wizards & Warriors [2000],Great,8.4,RPG,Y
Hogs of War,Good,7.4,Strategy,N
Austin Powers: Oh Behave!,Awful,3.0,Other,N
Austin Powers: Welcome To My Underground Lair,Awful,3.0,Other,N
Blues Brothers 2000,Mediocre,5.4,Platformer,N
3-D Ultra Pinball: Thrill Ride,Good,7.9,Pinball,N
Japan Pro Golf Tour 64,Good,7.8,Sports,N
Deep Fighter,Great,8.2,Action,N
Asterix: Search for Dogmatix,Great,8.0,Platformer,N
Konami GB Collection Vol. 4,Great,8.0,Action,N
Time Out Games,Bad,4.9,Puzzle,N
Dragon Dance,Good,7.0,Puzzle,N
Resident Evil: Survivor,Bad,4.0,Shooter,N
Pro Pool,Good,7.0,Sports,N
Armada F/X Racers,Awful,3.0,Racing,N
Countdown: Vampires,Bad,4.5,Adventure,N
Star Trek: Invasion,Great,8.0,"Flight, Action",N
RC Revenge,Good,7.8,Racing,N
ECW: Anarchy Rulz!,Awful,3.8,Wrestling,N
D2,Okay,6.2,Adventure,N
Giant Gram 2000: All Japan Pro Wrestling 3,Great,8.7,Wrestling,N
Hercules: The Legendary Journeys,Okay,6.9,Adventure,N
Galaga,Awful,3.0,Action,N
Reach for the Stars [2000],Mediocre,5.4,Strategy,N
Midtown Madness 2,Great,8.5,Racing,Y
Maximum Pool,Good,7.9,Sports,N
The Sims: Livin' Large,Good,7.5,Simulation,N
Valkyrie Profile,Amazing,9.1,RPG,Y
Vampire Chronicle For Matching Service,Great,8.2,"Fighting, Compilation",N
Homeworld: Cataclysm,Amazing,9.2,Strategy,Y
Parasite Eve II,Okay,6.9,Adventure,N
The New Adventures of the Time Machine,Good,7.6,Adventure,N
Mario Artist: Paint Studio,Good,7.0,Productivity,N
The Ring: Terror's Realm,Mediocre,5.4,Adventure,N
RC Racers Deluxe: Traxxas Edition,Great,8.3,Racing,N
NFL GameDay 2001,Good,7.8,Sports,N
Eternal Ring,Okay,6.5,"Action, RPG",N
GunGriffon Blaze,Great,8.4,"Action, Simulation",N
Summoner,Great,8.3,"Action, RPG",N
TimeSplitters,Great,8.6,Shooter,Y
SEGA Marine Fishing,Great,8.2,Hunting,N
Mega Man Legends 2,Great,8.1,"Action, Adventure",N
Dead or Alive 2: Hardcore,Great,8.7,Fighting,N
X-Squad,Okay,6.8,Shooter,N
Swing Away Golf,Good,7.3,Sports,N
Armored Core 2,Great,8.0,"Action, Simulation",N
FIFA 2001: Major League Soccer,Great,8.8,Sports,Y
Silent Scope,Okay,6.4,Shooter,N
Ridge Racer V,Great,8.0,Racing,N
Smuggler's Run,Good,7.9,"Racing, Action",N
Pokemon Gold Version,Masterpiece,10.0,RPG,Y
Hard Trucks II,Okay,6.2,"Racing, Action",N
Heroes Chronicles: Warlords of the Wasteland,Okay,6.0,Strategy,N
Combat Flight Simulator 2: WWII Pacific Theater,Great,8.2,Simulation,N
Mike Tyson Boxing,Bad,4.3,Sports,N
Spawn: In the Demon's Hand,Okay,6.8,Action,N
Alien Resurrection,Okay,6.5,Action,N
Orphen: Scion of Sorcery,Bad,4.5,"Action, Adventure",N
Dynasty Warriors 2,Good,7.9,Action,N
FantaVision,Okay,6.5,"Puzzle, Action",N
Kessen,Great,8.1,Strategy,N
Ready 2 Rumble Boxing: Round 2,Okay,6.2,"Sports, Action",N
Breakout,Okay,6.5,Action,N
FoxKids.com Micro Maniacs Racing,Good,7.5,Racing,N
Cruis'n Exotica,Mediocre,5.7,Racing,N
Cool Boarders 2001,Bad,4.0,Sports,N
NBA Live 2001,Amazing,9.0,Sports,Y
Frogger 2: Swampy's Revenge,Great,8.5,Action,N
007: The World is Not Enough,Great,8.9,Shooter,Y
Championship Motocross 2001 Featuring Ricky Carmichael,Mediocre,5.0,Racing,N
Buzz Lightyear of Star Command,Okay,6.0,Action,N
Team Buddies,Great,8.5,Action,N
Spyro: Year of the Dragon,Amazing,9.1,Platformer,Y
Superbike 2001,Amazing,9.0,Racing,Y
NASCAR 2001,Great,8.1,Racing,N
RollerCoaster Tycoon: Loopy Landscapes,Great,8.2,Strategy,N
Gobs of Games,Mediocre,5.0,Action,N
SSX [2000],Amazing,9.3,Sports,Y
Tekken Tag Tournament,Great,8.7,Fighting,Y
Street Fighter EX 3,Mediocre,5.0,Fighting,N
Test Drive V-Rally,Amazing,9.0,Racing,Y
Jarrett and Labonte Stock Car Racing,Great,8.3,Racing,N
ESPN MLS GameNight,Good,7.9,Sports,N
Blair Witch Volume 1: Rustin Parr,Okay,6.8,Adventure,N
UEFA Soccer 2000,Good,7.0,Sports,N
Sprint Car Racing,Bad,4.2,Racing,N
NASCAR Heat,Amazing,9.0,Racing,Y
Baldur's Gate II: Shadows of Amn,Amazing,9.4,RPG,Y
Jeopardy! 2nd Edition,Good,7.0,Other,N
Tom Clancy's Rainbow Six: Covert Ops Essentials,Okay,6.4,Action,N
Close Combat: Invasion Normandy,Great,8.2,Strategy,N
Rollcage Stage II,Great,8.7,Racing,Y
Pokemon Silver Version,Masterpiece,10.0,RPG,Y
Dead or Alive 2,Amazing,9.4,Fighting,N
Hoyle Casino,Great,8.8,Action,N
Big Mountain 2000,Okay,6.0,Sports,N
Vietnam: Black Ops,Mediocre,5.2,Action,N
Ogre Battle 64: Person of Lordly Caliber,Great,8.8,Strategy,Y
Street Fighter III: Third Strike -- Fight for the Future,Great,8.3,Fighting,N
Danger Girl,Awful,3.2,Action,N
Rune,Great,8.0,Action,N
El Dorado Gate: Vol. 1,Good,7.9,RPG,N
Family Feud [2000],Okay,6.9,Trivia,N
Monster Rancher Explorer,Great,8.0,Platformer,N
Jet Grind Radio,Amazing,9.6,Action,Y
Bust-A-Move Millennium Edition,Great,8.0,Puzzle,N
Super Runabout: San Francisco Edition,Okay,6.2,Racing,N
Death Track Racing,Great,8.7,Racing,Y
Demolition Racer: No Exit,Okay,6.8,Racing,N
Microsoft Puzzle Collection,Great,8.0,Puzzle,N
Magical Drop,Mediocre,5.0,Puzzle,N
Chicken Run,Good,7.2,Action,N
NBA ShootOut 2001,Okay,6.3,Sports,N
Donkey Kong Country,Amazing,9.0,Platformer,Y
WWF Smackdown! 2: Know Your Role,Great,8.9,Wrestling,Y
Batman Beyond: Return of the Joker,Okay,6.0,Action,N
Red Dog,Great,8.2,Action,N
Crash Bash,Good,7.5,Action,N
NBA 2K1,Great,8.8,Sports,N
"You Don't Know Jack, Mock 2",Great,8.2,Trivia,Y
Deep Raider,Bad,4.1,Action,N
Donald Duck: Goin' Quackers,Good,7.0,Platformer,N
Speedball 2100,Good,7.4,Action,N
The Legend of Zelda: Majora's Mask,Amazing,9.9,"Action, Adventure",Y
MotoGP [2000],Good,7.3,Racing,N
Command & Conquer: Red Alert 2,Amazing,9.3,Strategy,Y
ESPN Winter X Games Snowboarding,Great,8.0,Sports,N
Championship Surfer,Good,7.1,Sports,N
Delta Force: Land Warrior,Good,7.3,Action,N
Star Wars Demolition,Good,7.6,"Racing, Action",N
Looney Tunes Racing,Great,8.4,Racing,N
"Hey You, Pikachu!",Okay,6.0,Simulation,N
Jet Coaster Dream 2,Amazing,9.4,Simulation,N
Surfing H3O,Bad,4.0,Sports,N
Midnight Club: Street Racing,Great,8.6,Racing,Y
Wild Wild Racing,Good,7.8,Racing,N
Evergrace,Good,7.2,"Action, RPG",N
007 Racing,Mediocre,5.0,Racing,N
Banjo-Tooie,Amazing,9.4,Platformer,Y
Amazons & Aliens,Bad,4.3,Strategy,N
Gundam Battle Assault,Good,7.4,Fighting,N
Gunbird 2,Great,8.4,Shooter,N
Call to Power II,Okay,6.0,Strategy,N
The Longest Journey,Amazing,9.3,Adventure,Y
Rugrats in Paris -- The Movie,Okay,6.0,Platformer,N
4x4 EVO,Great,8.2,Racing,N
Arthur's Absolutely Fun Day,Okay,6.0,Action,N
Shenmue,Amazing,9.7,"Action, RPG",Y
Zeus: Master of Olympus,Amazing,9.1,Strategy,Y
Links 2001,Great,8.5,Sports,N
Rising Sun: Imperial Strike,Okay,6.6,Strategy,N
Galaga: Destination Earth,Okay,6.2,Action,N
The Wild Thornberrys: Rambler,Bad,4.0,Action,N
Sky Odyssey,Amazing,9.0,"Flight, Simulation",Y
Cannon Spike,Great,8.8,Shooter,N
Sacrifice,Amazing,9.4,Strategy,Y
Driver 2,Mediocre,5.0,"Racing, Action",N
The Jungle Book: Mowgli's Wild Adventure,Amazing,9.0,Platformer,Y
Animorphs,Awful,3.0,RPG,N
No One Lives Forever,Amazing,9.1,Shooter,Y
Sheep,Good,7.6,Puzzle,N
Mia Hamm Soccer Shootout,Bad,4.0,Sports,N
Mickey's Speedway USA,Okay,6.8,Racing,N
Tigger's Honey Hunt,Good,7.3,Action,N
WCW Backstage Assault,Painful,2.0,Wrestling,N
Knockout Kings 2001,Great,8.2,Sports,N
World Destruction League: Thunder Tanks,Awful,3.5,Action,N
Medal of Honor Underground,Amazing,9.0,Action,Y
SWAT 3: Elite Edition,Great,8.8,Action,Y
Blair Witch Volume II: The Legend of Coffin Rock,Okay,6.7,Action,N
Q-Ball: Billiards Master,Mediocre,5.0,Sports,N
X-Men: Mutant Wars,Mediocre,5.0,Action,N
Sonic Shuffle,Bad,4.7,Party,N
Gradius III and IV,Okay,6.5,Shooter,N
Devil Inside,Great,8.1,Action,N
RayCrisis,Great,8.1,Shooter,Y
Pac-Man: Adventures in Time,Great,8.6,Platformer,Y
RC de GO!,Great,8.4,"Racing, Simulation",Y
Army Men: Air Attack 2,Great,8.2,Action,N
Contender 2,Mediocre,5.0,Action,N
Skies of Arcadia,Amazing,9.2,RPG,Y
Starship Troopers: Terran Ascendancy,Good,7.2,Action,N
Bomberman: Party Edition,Good,7.6,Action,N
Aladdin,Okay,6.0,Platformer,N
Real Pool,Bad,4.5,Sports,N
Richard O'Brien's Rocky Interactive Horror Show,Mediocre,5.3,Adventure,N
Titus the Fox,Painful,2.0,Action,N
Escape From Monkey Island,Great,8.7,Adventure,Y
Freestyle Motocross: McGrath vs. Pastrana,Awful,3.0,Sports,N
Avalon Hill's Squad Leader,Mediocre,5.0,Strategy,N
Runabout 2,Bad,4.5,Action,N
Tom and Jerry: Fists of Furry,Okay,6.8,Fighting,N
realMyst,Okay,6.5,Adventure,N
Capcom vs. SNK: Millennium Fight 2000,Great,8.8,Fighting,N
WWF No Mercy,Amazing,9.0,Wrestling,Y
Woody Woodpecker Racing,Bad,4.0,Racing,N
Monster Rancher Hop-A-Bout,Awful,3.0,Action,N
SEGA Tetris,Okay,6.7,Puzzle,N
NCAA Final Four 2001,Bad,4.8,Sports,N
Heroes Chronicles: Conquest of the Underworld,Mediocre,5.0,Strategy,N
Sin and Punishment: Successor to the Earth,Amazing,9.0,Shooter,Y
Incredible Crisis,Great,8.5,Other,Y
Harvest Moon: Back to Nature,Good,7.5,RPG,N
Family Feud,Painful,2.5,Other,N
Sea Dogs,Great,8.5,RPG,Y
The Mummy,Mediocre,5.5,Action,N
Battle Isle: The Andosia War,Good,7.5,Strategy,N
Sabrina the Animated Series: Zapped!,Great,8.0,Platformer,N
Timeline,Awful,3.8,Action,N
